platform,show_id,title,content_type,release_year,rating,duration_value,duration_unit,primary_genre,genres,country,date_added,director,description
Amazon Prime,s6589,Camille Vol.1,Movie,2021,18+,92.0,min,Action,"Action, Arts, Entertainment, and Culture, Drama",,,Jesse Wallace Jr,"In a world of crime, politics, and family. A politician's family is affected by the same distractions that affects the community."
Amazon Prime,s6590,Cafe Midnight,TV Show,2021,13+,3.0,season,TV Shows,TV Shows,,,,A heart-throbbing coming-of-age story about an 18-year-old high school boy who peeks into the future.
Amazon Prime,s6591,Buck Run,Movie,2021,18+,83.0,min,Drama,Drama,,,Nick Frangione,"In rural Pennsylvania, an outsider tries to cope with his mother's death and reunites with his estranged, alcoholic father."
Amazon Prime,s6592,Brina,Movie,2021,18+,90.0,min,Drama,Drama,,,PAWAN SHARMA,Young Inncocent lahula's mother mathru and elder sister rajjo have multiple husbands at the same time.Illegal but socially accepted polyandry is practiced in their community for varios socio-economic reasons.Multiple brother share one woman as their wife and she is supposed to sexually oblige all of them in equal manner.
Amazon Prime,s6593,Brain Candy TV - Educational Videos for Kids,TV Show,2021,ALL,4.0,season,Kids,Kids,,"July 17, 2021",,"Season 4 continues our exploration of preschool topics with unique twists and of course lots of action-packed vehicles. Starting with our introduction to logical reasoning with our ""Learn About Patterns"" episode, we'll also explore more preschool concepts as well as fun science topics for kids like dinosaurs and space."
Amazon Prime,s6594,B. A. Pass,Movie,2013,18+,99.0,min,Drama,Drama,,,Ajay Bahl,"Orphaned and at loose ends, a young boy falls into the seductive orbit of a married woman, who leads him even deeper into a world of sex and betrayal."
Amazon Prime,s6595,Arya Surya,Movie,2013,ALL,124.0,min,Romance,Romance,,,Rama Narayanan,"Arya and Surya, two struggling actors, put a smuggler behind bars. However, things take an unexpected turn when they are chased by the smuggler's boss who wants revenge."
Amazon Prime,s6596,Annai,Movie,1962,ALL,149.0,min,Drama,Drama,,,Krishnan-Panju,Annai is a Tamil emotional family drama Movie. Banumathi and Ranga Rao are married and don't have any kids. Banumathi requests her sister Sowcar Janaki who is poor to give them their child. Sowcar Janaki agrees for it. She meets her kid after long time and misses him a lot.
Amazon Prime,s6597,An Evening in Paris,Movie,1967,ALL,153.0,min,Romance,"Romance, Suspense",,,Shakti Samanta,"An Evening in Paris Is A Bollywood Romantic Thriller Hindi Movie, Directed By Shakti Samanta, Starring Shammi Kapoor, Sharmila Tagore, Pran and Rajendra Nath In The Lead Roles. Deepa Goes To Paris To Find Love, And She Meets Shyam, An Amiable Gentleman. However, Since Shekhar Needs To Marry Her In Order To Clear His Debts, He Replaces Deepa With Her Lookalike."
Amazon Prime,s6598,Amma,Movie,1982,18+,132.0,min,Drama,Drama,,,Rajasekhar,Prathap Pothan proposes to Saritha and she accepts. Prathap Pothan's brother Dilip loves Saritha's sister Arundathi but she is not interested. Later whether Dilip attempts to molest Arundathi she kills him. Saritha saves her sister by committing that she did the murder. What happens from there is the rest of the movie.
